Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_00009zsyTaao9r3XASOp2v,06/10/2020,13:02:43,Faster payment,MEHTA A R,,,1.00,GBP,1.00,GBP,WELCOME,,,WELCOME,,,1.00
tx_00009zuzVz3oe9T2NFH8YU,07/10/2020,12:23:47,Faster payment,MEHTA A R,,,500.00,GBP,500.00,GBP,WELCOME,,,WELCOME,,,500.00
tx_00009zv19wz7so2Wzv8Do1,07/10/2020,12:42:13,Card payment,TfL Travel Charge,🚆,Transport,-6.70,GBP,-6.70,GBP,,,,TfL Travel Charge      TFL.gov.uk/CP GBR,,-6.70,
tx_00009zxgVk9ikLw2sx2v33,08/10/2020,19:34:59,Card payment,Co-op,🍏,Groceries,-1.57,GBP,-1.57,GBP,,Boston Manor Road,,CO-OP GROUP FOOD       BRENTFORD     GBR,,-1.57,
tx_00009zxgVnQqZ8faghV00A,08/10/2020,19:34:59,Pot transfer,Savings Pot,,,-0.43,GBP,-0.43,GBP,,,,Round up,,-0.43,
tx_0000A018ohwSaA7PiCYRNK,10/10/2020,11:36:17,Card payment,Transport for London,🚇,Transport,-7.10,GBP,-7.10,GBP,"Travel charge for Friday, 9 Oct",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-7.10,
tx_0000A018opRCiFs0xZzald,10/10/2020,11:36:17,Pot transfer,Savings Pot,,,-0.90,GBP,-0.90,GBP,,,,Round up,,-0.90,
tx_0000A01gC3UvttfJgo9IG2,10/10/2020,17:50:16,Card payment,Co-op,🍏,Groceries,-4.10,GBP,-4.10,GBP,,Boston Manor Road,,CO-OP GROUP FOOD       BRENTFORD     GBR,,-4.10,
tx_0000A01gC9CigXJz1GzHGc,10/10/2020,17:50:17,Pot transfer,Savings Pot,,,-0.90,GBP,-0.90,GBP,,,,Round up,,-0.90,
tx_0000A01vwQDdFtxwSOJODJ,10/10/2020,20:46:43,Card payment,Co-op,🍏,Groceries,-2.95,GBP,-2.95,GBP,,Boston Manor Road,,CO-OP GROUP FOOD       BRENTFORD     GBR,,-2.95,
tx_0000A01vwUIk4qmv5IMKEz,10/10/2020,20:46:44,Pot transfer,Savings Pot,,,-0.05,GBP,-0.05,GBP,,,,Round up,,-0.05,
tx_0000A03oiUlJFxcXSohyMr,11/10/2020,18:35:11,Card payment,Circuit Laundry,👕,General,-2.60,GBP,-2.60,GBP,,,,NYA*Circuit Laundrette London        GBR,,-2.60,
tx_0000A03oiYoICoQs2mPCHx,11/10/2020,18:35:12,Pot transfer,Savings Pot,,,-0.40,GBP,-0.40,GBP,,,,Round up,,-0.40,
tx_0000A03seegQpKksYiXTVJ,11/10/2020,19:19:19,Card payment,Circuit Laundry,👕,General,-1.30,GBP,-1.30,GBP,,,,NYA*Circuit Laundrette London        GBR,,-1.30,
tx_0000A03seiEvbX9MW3gtcJ,11/10/2020,19:19:20,Pot transfer,Savings Pot,,,-0.70,GBP,-0.70,GBP,,,,Round up,,-0.70,
tx_0000A07vA58RVTi6RtuDnW,13/10/2020,18:06:15,Card payment,ICU Reynolds Bar,🍻,Eating out,-8.00,GBP,-8.00,GBP,,Prince Consort Road,,ICU REYNOLDS BAR        GREAT BRITAI GBR,,-8.00,
tx_0000A08VVJUiuWsRRL1OSo,14/10/2020,00:53:28,Card payment,TfL Travel Charge,🚆,Transport,-7.10,GBP,-7.10,GBP,,,,TfL Travel Charge      TFL.gov.uk/CP GBR,,-7.10,
tx_0000A08VVLjgZs2AOK2N3x,14/10/2020,00:53:29,Pot transfer,Savings Pot,,,-0.90,GBP,-0.90,GBP,,,,Round up,,-0.90,
tx_0000A09Q84E9Cf3LwmnNZq,14/10/2020,11:27:57,Card payment,Co-op,🍏,Groceries,-5.10,GBP,-5.10,GBP,,Boston Manor Road,,CO-OP GROUP FOOD       BRENTFORD     GBR,,-5.10,
tx_0000A09Q8AHufZ4JaVrSrr,14/10/2020,11:27:58,Pot transfer,Savings Pot,,,-0.90,GBP,-0.90,GBP,,,,Round up,,-0.90,
tx_0000A09qnSwAplPC8NJmSY,14/10/2020,16:26:46,Card payment,Morrisons,🍏,Groceries,-1.06,GBP,-1.06,GBP,,228-246 High Street,,WM MORRISONS PLC       BRENTFORD     GBR,,-1.06,
tx_0000A09qnXhT7rZ4sfCp18,14/10/2020,16:26:47,Pot transfer,Savings Pot,,,-0.94,GBP,-0.94,GBP,,,,Round up,,-0.94,
tx_0000A0C2jIFuC5Orc4FCMr,15/10/2020,17:49:54,Card payment,Uber,🚖,Transport,0.00,GBP,0.00,GBP,Active card check,,,Uber Rides             Amsterdam     GBR,,0.00,
tx_0000A0C2k8LiVjSWJHpnLH,15/10/2020,17:50:03,Card payment,Uber Eats,🍽,Transport,-8.06,GBP,-8.06,GBP,,,,UBER   * PENDING       Amsterdam     GBR,,-8.06,
tx_0000A0C2kDdcqZF5a8mRkn,15/10/2020,17:50:04,Pot transfer,Savings Pot,,,-0.94,GBP,-0.94,GBP,,,,Round up,,-0.94,
tx_0000A0K5TIcgujd73uloDh,19/10/2020,14:58:19,Card payment,Co-op,🍏,Groceries,-23.15,GBP,-23.15,GBP,,Boston Manor Road,,CO-OP GROUP FOOD       BRENTFORD     GBR,,-23.15,
tx_0000A0K5TLvacvWtJOdRar,19/10/2020,14:58:19,Pot transfer,Savings Pot,,,-0.85,GBP,-0.85,GBP,,,,Round up,,-0.85,
tx_0000A0K8VcHp4nt8Z7WcBl,19/10/2020,15:32:21,Monzo.me / Top-up,,,General,15.00,GBP,15.00,GBP,,,,yiping lin,,,15.00
tx_0000A0NiEcIDykvHikfDGM,21/10/2020,08:56:47,Card payment,Transport for London,🚇,Transport,-3.00,GBP,-3.00,GBP,"Travel charge for Tuesday, 20 Oct",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.00,
tx_0000A0O2DbKO50TiyqWpKT,21/10/2020,12:40:42,Card payment,Circuit Laundry,👕,General,-2.60,GBP,-2.60,GBP,,,,NYA*Circuit Laundrette London        GBR,,-2.60,
tx_0000A0O2DfSKjOjiS73vW7,21/10/2020,12:40:43,Pot transfer,Savings Pot,,,-0.40,GBP,-0.40,GBP,,,,Round up,,-0.40,
tx_0000A0O6CI14nFZtHauZSD,21/10/2020,13:25:17,Card payment,Circuit Laundry,👕,General,-1.30,GBP,-1.30,GBP,,,,NYA*Circuit Laundrette London        GBR,,-1.30,
tx_0000A0O6CLc3QDwIR9Ee0X,21/10/2020,13:25:18,Pot transfer,Savings Pot,,,-0.70,GBP,-0.70,GBP,,,,Round up,,-0.70,
tx_0000A0QLiM0LO8PWQ3OIOv,22/10/2020,15:28:35,Faster payment,A D Bainbridge,,Eating out,-13.70,GBP,-13.70,GBP,Pizza,,,Pizza,,-13.70,
tx_0000A0S807HxpUiBQ0s3LF,23/10/2020,12:04:21,Card payment,Costa Coffee,☕,Eating out,-4.05,GBP,-4.05,GBP,,465 Caledonian Road,,COSTA COFFEE           LONDON        GBR,,-4.05,
tx_0000A0S80BqqrjDUjyG3t3,23/10/2020,12:04:21,Pot transfer,Savings Pot,,,-0.95,GBP,-0.95,GBP,,,,Round up,,-0.95,
tx_0000A0Sf4poNX9kWVyDe3l,23/10/2020,18:14:58,Card payment,Tesco,🍏 ,General,-7.05,GBP,-7.05,GBP,,Caledonian Road,,TESCO STORES 6187      LONDON        GBR,,-7.05,
tx_0000A0Sf4t7zCiDSnePqXR,23/10/2020,18:14:58,Pot transfer,Savings Pot,,,-0.95,GBP,-0.95,GBP,,,,Round up,,-0.95,
tx_0000A0UG8jgQ9SWbdu5d6v,24/10/2020,12:44:57,Card payment,Apple,🍎 ,Entertainment,0.00,GBP,0.00,GBP,Active card check,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,,0.00,
tx_0000A0UG9FS02cwydLmnsv,24/10/2020,12:45:03,Card payment,Apple,🍎 ,Entertainment,0.00,GBP,0.00,GBP,Active card check,,,APPLE.COM/BILL         APPLE.COM/BIL IRL,,0.00,
tx_0000A0czQLV8qfd27wHiGx,28/10/2020,17:50:04,Card payment,Pizza Hut,🍕,Eating out,-11.47,GBP,-11.47,GBP,,Online Transaction,,WWW.PIZZAHUT.CO.UK     ST ALBANS     GBR,,-11.47,
tx_0000A0czQOcLGLnZtUPuqJ,28/10/2020,17:50:04,Pot transfer,Savings Pot,,,-0.53,GBP,-0.53,GBP,,,,Round up,,-0.53,
tx_0000A0hMEj3MX3r8hWCqxd,30/10/2020,20:24:31,Card payment,Pizze Delizie,,Entertainment,-8.50,GBP,-8.50,GBP,,249 HOLLOWAY ROAD,,PIZZE DELIZIE          LONDON        GBR,,-8.50,
tx_0000A0hMEmcvFIJNjYUV2v,30/10/2020,20:24:32,Pot transfer,Savings Pot,,,-0.50,GBP,-0.50,GBP,,,,Round up,,-0.50,
tx_0000A0iuC9XNCRclWJlxdh,31/10/2020,14:19:44,Card payment,TfL Travel Charge,🚆,Transport,-4.80,GBP,-4.80,GBP,,,,TfL Travel Charge      TFL.gov.uk/CP GBR,,-4.80,
tx_0000A0j8ia7nHZtvKcdOHR,31/10/2020,17:02:28,Card payment,Sainsbury's,🍏,Groceries,-2.50,GBP,-2.50,GBP,,465 Caledonian Road,,SAINSBURYS SACAT(4205) STATION ROAD  GBR,,-2.50,
tx_0000A0j8iecQZdF4apu8Yr,31/10/2020,17:02:29,Pot transfer,Savings Pot,,,-0.50,GBP,-0.50,GBP,,,,Round up,,-0.50,
tx_0000A0jTkxduubBpDBXgXK,31/10/2020,20:58:12,Card payment,Circuit Laundry,👕,General,-20.40,GBP,-20.40,GBP,,,,CIRCUIT UK - APP 1     RIPPONDEN     GBR,,-20.40,
tx_0000A0jTl2cKPvSnqJmHgX,31/10/2020,20:58:13,Pot transfer,Savings Pot,,,-0.60,GBP,-0.60,GBP,,,,Round up,,-0.60,
tx_0000A0n2SmbNIqieCTeYgz,02/11/2020,14:11:14,Card payment,Transport for London,🚇,Transport,-4.80,GBP,-4.80,GBP,"Travel charge for Sunday, 1 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-4.80,
tx_0000A0n2StJCMovrqrmQV7,02/11/2020,14:11:15,Pot transfer,Savings Pot,,,-0.20,GBP,-0.20,GBP,,,,Round up,,-0.20,
tx_0000A0nRt3tu6eidbuDePR,02/11/2020,18:56:06,Card payment,Five Guys,🍔,Eating out,-3.25,GBP,-3.25,GBP,,43 Thurloe Street,,FIVE GUYS              LONDON        GBR,,-3.25,
tx_0000A0nRt7dODzszBqWWDy,02/11/2020,18:56:07,Pot transfer,Savings Pot,,,-0.75,GBP,-0.75,GBP,,,,Round up,,-0.75,
tx_0000A0ojcgHi8RapqmZBZp,03/11/2020,09:49:32,Card payment,Transport for London,🚇,Transport,-4.80,GBP,-4.80,GBP,"Travel charge for Monday, 2 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-4.80,
tx_0000A0ojcoanFNzmhmLsB7,03/11/2020,09:49:34,Pot transfer,Savings Pot,,,-0.20,GBP,-0.20,GBP,,,,Round up,,-0.20,
tx_0000A0oxmAGjQGiMoEWbDe,03/11/2020,12:28:08,Card payment,Uber Eats,🍽,Eating out,-8.25,GBP,-8.25,GBP,,,,UBER * PENDING         help.uber.com NLD,,-8.25,
tx_0000A0oxmE7J7FTsbWvm2j,03/11/2020,12:28:08,Pot transfer,Savings Pot,,,-0.75,GBP,-0.75,GBP,,,,Round up,,-0.75,
tx_0000A0pofqxJbvQq0u5JtB,03/11/2020,22:20:51,Card payment,Nisa Local,🍏✉️,Groceries,-5.11,GBP,-5.11,GBP,,476 Caledonian Road,,NISA LOCAL             LONDON        GBR,,-5.11,
tx_0000A0poftrkn4Vfm8WpnN,03/11/2020,22:20:52,Pot transfer,Savings Pot,,,-0.89,GBP,-0.89,GBP,,,,Round up,,-0.89,
tx_0000A0rIOlIiZcigBZHnIQ,04/11/2020,15:28:38,Card payment,Sainsbury's,🍏,Groceries,-0.90,GBP,-0.90,GBP,,465 Caledonian Road,,SAINSBURYS SACAT(4205) STATION ROAD  GBR,,-0.90,
tx_0000A0t3nELb7YYSWVTK6s,05/11/2020,11:54:24,Faster payment,Arthika Sivathasan,,Eating out,-3.25,GBP,-3.25,GBP,Sent from Monzo,,,Sent from Monzo,,-3.25,
